user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
8378	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__PFL25;s__	N/A	N/A	N/A	N/A	N/A	GCA_022865865.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__PFL25;s__PFL25 sp022865865	78.51	0.202	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__PFL25;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_020346705.1, s__PFL25 sp020346705, 95.0, 76.84, 0.048; GCA_020349245.1, s__PFL25 sp020349245, 95.0, 75.59, 0.058	15.93	11	0.96851	N/A
8474_sub	d__Bacteria;p__Desulfobacterota_F;c__WTBG01;o__WTBG01;f__WTBG01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_013139225.1	95.0	d__Bacteria;p__Desulfobacterota_F;c__WTBG01;o__WTBG01;f__WTBG01;g__WTBG01;s__WTBG01 sp013139225	76.58	0.061	d__Bacteria;p__Desulfobacterota_F;c__WTBG01;o__WTBG01;f__WTBG01;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	39.44	11	0.7997	N/A
9834	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	19.48	11	0.83834	Genome domain questionable ( 20.8% Bacterial, 11.3% Archaeal)
CONCOCT.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	89.55	11	0.84616	N/A
CONCOCT.11	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	74.68	11	0.88262	N/A
CONCOCT.30_sub	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__;f__;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	28.48	4	0.50411	Genome has more than 10.0% of markers with multiple hits
CONCOCT.4	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__JAHEKZ01;f__JAHEKZ01;g__JAHEKZ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__JAHEKZ01;f__JAHEKZ01;g__JAHEKZ01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	92.35	11	0.92425	N/A
CONCOCT.47_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__	N/A	N/A	N/A	N/A	N/A	GCA_009937605.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__UBA1847 sp009937605	81.24	0.704	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_945787845.1, s__UBA1847 sp945787845, 95.0, 78.7, 0.381; GCA_024639825.1, s__UBA1847 sp024639825, 95.0, 78.66, 0.377; GCA_024679535.1, s__UBA1847 sp024679535, 95.0, 78.47, 0.343; GCA_004282875.1, s__UBA1847 sp004282875, 95.0, 78.31, 0.362; GCA_013042375.1, s__UBA1847 sp013042375, 95.0, 78.03, 0.424; GCA_022360335.1, s__UBA1847 sp022360335, 95.0, 78.03, 0.366; GCA_945788625.1, s__UBA1847 sp945788625, 95.0, 77.65, 0.212; GCA_013043165.1, s__UBA1847 sp013043165, 95.0, 77.38, 0.251; GCA_013001045.1, s__UBA1847 sp013001045, 95.0, 77.36, 0.221; GCA_021773155.1, s__UBA1847 sp021773155, 95.0, 77.32, 0.183; GCA_021773115.1, s__UBA1847 sp021773115, 95.0, 77.3, 0.127; GCA_022600955.1, s__UBA1847 sp022600955, 95.0, 77.27, 0.117; GCA_022563255.1, s__UBA1847 sp022563255, 95.0, 77.18, 0.178; GCA_021773095.1, s__UBA1847 sp021773095, 95.0, 77.12, 0.139; GCA_021773075.1, s__UBA1847 sp021773075, 95.0, 77.1, 0.101; GCA_022567295.1, s__UBA1847 sp022567295, 95.0, 77.09, 0.157; GCA_022573655.1, s__UBA1847 sp022573655, 95.0, 77.04, 0.154; GCA_022866645.1, s__UBA1847 sp022866645, 95.0, 77.04, 0.141; GCA_913063505.1, s__UBA1847 sp913063505, 95.0, 77.01, 0.13; GCA_021773035.1, s__UBA1847 sp021773035, 95.0, 77.0, 0.139; GCA_002685275.1, s__UBA1847 sp002685275, 95.0, 76.99, 0.017; GCA_905480215.1, s__UBA1847 sp905480215, 95.0, 76.97, 0.104; GCA_018699395.1, s__UBA1847 sp018699395, 95.0, 76.91, 0.095; GCA_002338605.1, s__UBA1847 sp002338605, 95.0, 76.83, 0.137; GCA_021773055.1, s__UBA1847 sp021773055, 95.0, 76.81, 0.138; GCA_009937445.1, s__UBA1847 sp009937445, 95.0, 76.43, 0.134	71.88	11	0.97795	Genome has more than 16.7% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CONCOCT.58_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus;s__	ANI	classification based on placement in class-level tree	GCA_024234675.1, s__Halioglobus sp024234675, 95.0, 80.39, 0.447; GCA_024234735.1, s__Halioglobus sp024234735, 95.0, 80.04, 0.385; GCF_004745945.1, s__Halioglobus sp004745945, 95.0, 79.96, 0.319; GCA_024234855.1, s__Halioglobus sp024234855, 95.0, 79.81, 0.367; GCA_002699145.1, s__Halioglobus sp002699145, 95.0, 79.66, 0.351; GCA_009937575.1, s__Halioglobus sp009937575, 95.0, 79.62, 0.323; GCA_024642265.1, s__Halioglobus sp024642265, 95.0, 79.61, 0.34; GCF_003457605.1, s__Halioglobus sediminis, 95.0, 79.37, 0.331; GCA_020443345.1, s__Halioglobus sp020443345, 95.0, 79.29, 0.311; GCA_024642245.1, s__Halioglobus sp024642245, 95.0, 79.15, 0.326; GCA_024640505.1, s__Halioglobus sp024640505, 95.0, 78.83, 0.339; GCA_024234815.1, s__Halioglobus sp024234815, 95.0, 78.78, 0.279; GCF_004354085.1, s__Halioglobus unica, 95.0, 78.59, 0.272; GCA_003646405.1, s__Halioglobus sp003646405, 95.0, 78.53, 0.304; GCA_003646415.1, s__Halioglobus sp003646415, 95.0, 78.49, 0.297; GCA_016704305.1, s__Halioglobus sp016704305, 95.0, 78.35, 0.205; GCF_008370495.1, s__Halioglobus sp008370495, 95.0, 78.19, 0.27; GCA_020443425.1, s__Halioglobus sp020443425, 95.0, 78.1, 0.235; GCF_001983995.1, s__Halioglobus japonicus, 95.0, 78.04, 0.174; GCF_009388985.1, s__Halioglobus maricola, 95.0, 77.64, 0.16; GCF_002866825.1, s__Halioglobus lutimaris, 95.0, 77.61, 0.185; GCA_024686215.1, s__Halioglobus sp024686215, 95.0, 77.41, 0.248; GCA_020443325.1, s__Halioglobus sp020443325, 95.0, 77.36, 0.166; GCA_000156295.1, s__Halioglobus sp000156295, 95.0, 77.27, 0.088; GCA_905480565.1, s__Halioglobus sp905480565, 95.0, 77.17, 0.092; GCA_902705825.1, s__Halioglobus japonicus_A, 95.0, 77.11, 0.136; GCA_024224435.1, s__Halioglobus sp024224435, 95.0, 77.02, 0.089; GCA_024742415.1, s__Halioglobus sp024742415, 95.0, 76.91, 0.133; GCA_002862985.1, s__Halioglobus sp002862985, 95.0, 76.68, 0.079; GCA_013214285.1, s__Halioglobus sp013214285, 95.0, 76.67, 0.081; GCA_018657645.1, s__Halioglobus sp018657645, 95.0, 76.46, 0.055; GCA_015222725.1, s__Halioglobus sp015222725, 95.0, 76.41, 0.106; GCA_016744355.1, s__Halioglobus sp016744355, 95.0, 76.29, 0.051; GCA_913062625.1, s__Halioglobus sp913062625, 95.0, 76.24, 0.052; GCA_913061115.1, s__Halioglobus sp913061115, 95.0, 76.18, 0.076; GCA_002862465.1, s__Halioglobus sp002862465, 95.0, 76.03, 0.036	34.56	11	0.92159	N/A
CONCOCT.9_sub	d__Bacteria;p__Desulfobacterota_F;c__DSWW01;o__DSWW01;f__DSWW01;g__S015-6;s__	N/A	N/A	N/A	N/A	N/A	GCA_015486285.1	95.0	d__Bacteria;p__Desulfobacterota_F;c__DSWW01;o__DSWW01;f__DSWW01;g__S015-6;s__S015-6 sp015486285	80.36	0.388	d__Bacteria;p__Desulfobacterota_F;c__DSWW01;o__DSWW01;f__DSWW01;g__S015-6;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	44.05	11	0.93393	Genome has more than 12.5% of markers with multiple hits
bins.021_sub	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JAEUJM01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JAEUJM01;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	23.12	11	0.74847	N/A
bins.026_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	31.9	11	0.84131	N/A
bins.052_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__JAFDCJ01;g__JAFDCJ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__JAFDCJ01;g__JAFDCJ01;s__	ANI	classification based on placement in class-level tree	GCA_024277475.1, s__JAFDCJ01 sp024277475, 95.0, 83.71, 0.05; GCA_945787595.1, s__JAFDCJ01 sp945787595, 95.0, 81.2, 0.08; GCA_019310665.1, s__JAFDCJ01 sp019310665, 95.0, 78.48, 0.031; GCA_902749685.1, s__JAFDCJ01 sp902749685, 95.0, 77.84, 0.063; GCA_019312835.1, s__JAFDCJ01 sp019312835, 95.0, 76.7, 0.028; GCA_020345785.1, s__JAFDCJ01 sp020345785, 95.0, 76.36, 0.038	34.36	11	0.93605	N/A
bins.082_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__BMS3Bbin11;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__BMS3Bbin11;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	44.29	11	0.80854	N/A
bins.087_sub	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__SAT41;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002706465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__SAT41;g__GCA-2706465;s__GCA-2706465 sp002706465	74.44	0.003	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__SAT41;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	30.67	11	0.74943	Genome has more than 10.8% of markers with multiple hits
bins.10	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__JAFDBW01;s__JAFDBW01 sp019313105	GCA_019313105.1	95.0	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__JAFDBW01;s__JAFDBW01 sp019313105	95.53	0.884	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
bins.104	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	40.28	11	0.87868	N/A
bins.113	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__	N/A	N/A	N/A	N/A	N/A	GCA_903933815.1	95.0	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__67-14 sp903933815	79.84	0.585	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_020438295.1, s__67-14 sp020438295, 95.0, 79.97, 0.529; GCA_001897355.1, s__67-14 sp001897355, 95.0, 79.85, 0.566; GCA_017304845.1, s__67-14 sp017304845, 95.0, 79.83, 0.408; GCA_016650125.1, s__67-14 sp016650125, 95.0, 79.63, 0.536; GCA_019694145.1, s__67-14 sp019694145, 95.0, 79.28, 0.443; GCA_016649615.1, s__67-14 sp016649615, 95.0, 79.22, 0.527; GCA_020438425.1, s__67-14 sp020438425, 95.0, 79.22, 0.406; GCA_023436605.1, s__67-14 sp023436605, 95.0, 79.14, 0.457; GCA_016712175.1, s__67-14 sp016712175, 95.0, 78.96, 0.473; GCA_023434465.1, s__67-14 sp023434465, 95.0, 78.91, 0.388; GCA_023958085.1, s__67-14 sp023958085, 95.0, 78.81, 0.393; GCA_020636955.1, s__67-14 sp020636955, 95.0, 78.65, 0.381; GCA_018883025.1, s__67-14 sp018883025, 95.0, 78.64, 0.496; GCA_020438355.1, s__67-14 sp020438355, 95.0, 78.57, 0.398; GCA_903939845.1, s__67-14 sp903939845, 95.0, 78.5, 0.424; GCA_020438395.1, s__67-14 sp020438395, 95.0, 78.48, 0.417; GCA_903891285.1, s__67-14 sp903891285, 95.0, 78.41, 0.478; GCA_020438345.1, s__67-14 sp020438345, 95.0, 77.67, 0.256	75.75	11	0.92953	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bins.120_sub	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Jiangellales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Jiangellales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	59.11	11	0.7096	N/A
bins.126_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__QNYZ01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003973265.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__QNYZ01;g__QNYZ01;s__QNYZ01 sp003973265	76.37	0.075	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__QNYZ01;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	31.36	11	0.76575	N/A
bins.129_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__B30-G6;g__B30-G6;s__	N/A	N/A	N/A	N/A	N/A	GCA_003647375.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__B30-G6;g__B30-G6;s__B30-G6 sp003647375	84.52	0.634	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__B30-G6;g__B30-G6;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_024639645.1, s__B30-G6 sp024639645, 95.0, 83.18, 0.556	34.54	11	0.96632	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bins.147	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	75.37	11	0.91495	N/A
bins.21	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__	N/A	N/A	N/A	N/A	N/A	GCA_024641825.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__JAAXQD01 sp024641825	93.15	0.633	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_012974475.1, s__JAAXQD01 sp012974475, 95.0, 89.8, 0.68; GCA_019314155.1, s__JAAXQD01 sp019314155, 95.0, 87.43, 0.574	58.49	11	0.98955	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bins.38	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	77.95	11	0.83861	N/A
