user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CONCOCT.29_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__JAFDCJ01;g__JAFDCJ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__JAFDCJ01;g__JAFDCJ01;s__	ANI	classification based on placement in class-level tree	GCA_945787595.1, s__JAFDCJ01 sp945787595, 95.0, 83.96, 0.251; GCA_024277475.1, s__JAFDCJ01 sp024277475, 95.0, 83.09, 0.165; GCA_019310665.1, s__JAFDCJ01 sp019310665, 95.0, 79.1, 0.198; GCA_902749685.1, s__JAFDCJ01 sp902749685, 95.0, 79.0, 0.163; GCA_019312835.1, s__JAFDCJ01 sp019312835, 95.0, 77.89, 0.108; GCA_020345785.1, s__JAFDCJ01 sp020345785, 95.0, 76.75, 0.1	19.48	11	0.94842	Genome has more than 12.5% of markers with multiple hits
CONCOCT.44	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	46.16	11	0.84512	Genome has more than 25.8% of markers with multiple hits
bins.10	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp001510415	GCA_001510415.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp001510415	96.9	0.614	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
bins.14	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__	N/A	N/A	N/A	N/A	N/A	GCA_022340485.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__UBA9214 sp022340485	80.5	0.688	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_905479705.1, s__UBA9214 sp905479705, 95.0, 79.46, 0.481; GCA_905480305.1, s__UBA9214 sp905480305, 95.0, 79.34, 0.374; GCA_003454335.1, s__UBA9214 sp003454335, 95.0, 78.21, 0.366; GCA_013041945.1, s__UBA9214 sp013041945, 95.0, 77.98, 0.252; GCA_905480065.1, s__UBA9214 sp905480065, 95.0, 77.29, 0.29	88.48	11	0.94794	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bins.19_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	41.77	11	0.82878	Genome has more than 19.2% of markers with multiple hits
bins.25_sub	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.1%)
bins.28	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;s__	N/A	N/A	N/A	N/A	N/A	GCA_018224455.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;s__Desulfosarcina sp018224455	89.57	0.706	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_020444075.1, s__Desulfosarcina sp020444075, 95.0, 85.03, 0.63; GCA_014237405.1, s__Desulfosarcina sp014237405, 95.0, 83.43, 0.498; GCA_002352605.1, s__Desulfosarcina sp002352605, 95.0, 81.56, 0.515; GCF_009688945.1, s__Desulfosarcina alkanivorans, 95.0, 81.35, 0.579; GCF_009688965.1, s__Desulfosarcina widdelii, 95.0, 79.21, 0.394; GCF_009689005.1, s__Desulfosarcina ovata, 95.0, 79.04, 0.31; GCF_001311845.1, s__Desulfosarcina cetonica, 95.0, 78.26, 0.258; GCA_002747175.1, s__Desulfosarcina sp002747175, 95.0, 77.68, 0.219	52.65	11	0.98425	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bins.30	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__	N/A	N/A	N/A	N/A	N/A	GCA_009937505.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__JAACFE01 sp009937505	81.85	0.69	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_009937525.1, s__JAACFE01 sp009937525, 95.0, 81.7, 0.68	47.96	11	0.97955	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bins.31	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__	N/A	N/A	N/A	N/A	N/A	GCA_903933815.1	95.0	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__67-14 sp903933815	79.65	0.461	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016650125.1, s__67-14 sp016650125, 95.0, 79.61, 0.502; GCA_001897355.1, s__67-14 sp001897355, 95.0, 79.28, 0.506; GCA_017304845.1, s__67-14 sp017304845, 95.0, 79.27, 0.399; GCA_019694145.1, s__67-14 sp019694145, 95.0, 79.22, 0.403; GCA_023436605.1, s__67-14 sp023436605, 95.0, 79.1, 0.416; GCA_020438295.1, s__67-14 sp020438295, 95.0, 79.06, 0.438; GCA_016649615.1, s__67-14 sp016649615, 95.0, 79.0, 0.455; GCA_016712175.1, s__67-14 sp016712175, 95.0, 78.92, 0.459; GCA_020438425.1, s__67-14 sp020438425, 95.0, 78.76, 0.414; GCA_018883025.1, s__67-14 sp018883025, 95.0, 78.59, 0.328; GCA_023958085.1, s__67-14 sp023958085, 95.0, 78.59, 0.382; GCA_023434465.1, s__67-14 sp023434465, 95.0, 78.47, 0.338; GCA_020438355.1, s__67-14 sp020438355, 95.0, 78.29, 0.366; GCA_903939845.1, s__67-14 sp903939845, 95.0, 78.25, 0.31; GCA_903891285.1, s__67-14 sp903891285, 95.0, 78.22, 0.281; GCA_020438395.1, s__67-14 sp020438395, 95.0, 78.21, 0.373; GCA_020636955.1, s__67-14 sp020636955, 95.0, 78.12, 0.36; GCA_020438345.1, s__67-14 sp020438345, 95.0, 77.78, 0.218	10.76	4	0.95113	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome domain questionable ( 11.7% Bacterial, 1.9% Archaeal)
bins.36	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	57.6	11	0.88379	N/A
bins.43	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__JABDQA01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__JABDQA01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	67.01	11	0.9179	N/A
bins.53	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	77.28	11	0.83795	N/A
bins.55	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__	N/A	N/A	N/A	N/A	N/A	GCA_024641825.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__JAAXQD01 sp024641825	92.3	0.716	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_012974475.1, s__JAAXQD01 sp012974475, 95.0, 89.78, 0.799; GCA_019314155.1, s__JAAXQD01 sp019314155, 95.0, 87.79, 0.67	41.75	11	0.97772	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 20.8% of markers with multiple hits
bins.62	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	74.96	11	0.84725	N/A
bins.63	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	38.69	11	0.82753	Genome has more than 10.0% of markers with multiple hits
bins.71_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__MADRE3;s__	N/A	N/A	N/A	N/A	N/A	GCA_004796425.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__MADRE3;s__MADRE3 sp004796425	76.67	0.042	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__MADRE3;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	29.24	11	0.89086	N/A
bins.77	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__	N/A	N/A	N/A	N/A	N/A	GCA_009937605.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__UBA1847 sp009937605	81.06	0.672	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_024639825.1, s__UBA1847 sp024639825, 95.0, 78.83, 0.362; GCA_945787845.1, s__UBA1847 sp945787845, 95.0, 78.77, 0.356; GCA_024679535.1, s__UBA1847 sp024679535, 95.0, 78.59, 0.321; GCA_004282875.1, s__UBA1847 sp004282875, 95.0, 78.38, 0.346; GCA_013042375.1, s__UBA1847 sp013042375, 95.0, 78.23, 0.394; GCA_022360335.1, s__UBA1847 sp022360335, 95.0, 78.06, 0.358; GCA_021773155.1, s__UBA1847 sp021773155, 95.0, 77.56, 0.179; GCA_021773115.1, s__UBA1847 sp021773115, 95.0, 77.52, 0.131; GCA_945788625.1, s__UBA1847 sp945788625, 95.0, 77.44, 0.26; GCA_002685275.1, s__UBA1847 sp002685275, 95.0, 77.43, 0.014; GCA_022563255.1, s__UBA1847 sp022563255, 95.0, 77.43, 0.165; GCA_022600955.1, s__UBA1847 sp022600955, 95.0, 77.32, 0.127; GCA_021773095.1, s__UBA1847 sp021773095, 95.0, 77.22, 0.134; GCA_013001045.1, s__UBA1847 sp013001045, 95.0, 77.22, 0.212; GCA_022567295.1, s__UBA1847 sp022567295, 95.0, 77.21, 0.148; GCA_021773035.1, s__UBA1847 sp021773035, 95.0, 77.18, 0.163; GCA_013043165.1, s__UBA1847 sp013043165, 95.0, 77.13, 0.231; GCA_021773075.1, s__UBA1847 sp021773075, 95.0, 77.09, 0.112; GCA_002338605.1, s__UBA1847 sp002338605, 95.0, 77.09, 0.121; GCA_913063505.1, s__UBA1847 sp913063505, 95.0, 77.08, 0.135; GCA_021773055.1, s__UBA1847 sp021773055, 95.0, 76.97, 0.137; GCA_022573655.1, s__UBA1847 sp022573655, 95.0, 76.96, 0.149; GCA_905480215.1, s__UBA1847 sp905480215, 95.0, 76.88, 0.092; GCA_018699395.1, s__UBA1847 sp018699395, 95.0, 76.83, 0.1; GCA_022866645.1, s__UBA1847 sp022866645, 95.0, 76.82, 0.137; GCA_009937445.1, s__UBA1847 sp009937445, 95.0, 76.5, 0.123	66.81	11	0.9794	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bins.85	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__	N/A	N/A	N/A	N/A	N/A	GCA_903933815.1	95.0	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__67-14 sp903933815	80.01	0.592	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_001897355.1, s__67-14 sp001897355, 95.0, 79.98, 0.562; GCA_020438295.1, s__67-14 sp020438295, 95.0, 79.94, 0.535; GCA_017304845.1, s__67-14 sp017304845, 95.0, 79.9, 0.406; GCA_016650125.1, s__67-14 sp016650125, 95.0, 79.74, 0.535; GCA_019694145.1, s__67-14 sp019694145, 95.0, 79.5, 0.437; GCA_016649615.1, s__67-14 sp016649615, 95.0, 79.23, 0.524; GCA_023436605.1, s__67-14 sp023436605, 95.0, 79.17, 0.456; GCA_020438425.1, s__67-14 sp020438425, 95.0, 79.07, 0.409; GCA_016712175.1, s__67-14 sp016712175, 95.0, 79.01, 0.479; GCA_023958085.1, s__67-14 sp023958085, 95.0, 78.93, 0.402; GCA_023434465.1, s__67-14 sp023434465, 95.0, 78.92, 0.391; GCA_020636955.1, s__67-14 sp020636955, 95.0, 78.73, 0.391; GCA_018883025.1, s__67-14 sp018883025, 95.0, 78.69, 0.494; GCA_020438395.1, s__67-14 sp020438395, 95.0, 78.63, 0.416; GCA_903939845.1, s__67-14 sp903939845, 95.0, 78.54, 0.416; GCA_903891285.1, s__67-14 sp903891285, 95.0, 78.52, 0.469; GCA_020438355.1, s__67-14 sp020438355, 95.0, 78.49, 0.422; GCA_020438345.1, s__67-14 sp020438345, 95.0, 77.74, 0.258	83.95	11	0.93389	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
